"Title_of_blog","Author_Name","Author_Bio","Url_of_site","Author_img_src"
"What We’re Reading: Are you an upstander or a bystander?","Published in3 Min ReadMedium Staff","3 Min ReadFeb 24----14The official Medium blogAboutHelpTermsPrivacyNews and updates from the staff at Medium.HelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/what-were-reading-are-you-an-upstander-or-a-bystander-81f618ff072c?source=---------0","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"Readers can now save your curated lists","Published in3 Min ReadBreana Jones","3 Min ReadFeb 22----40The official Medium blogAboutHelpTermsPrivacyproduct @ medium.HelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/readers-can-now-save-your-curated-lists-31f62f2aa33f?source=---------1","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"A new Boost for top stories","Published in3 Min ReadTony Stubblebine","3 Min ReadFeb 21----240The official Medium blogAboutHelpTermsPrivacyCEO at @medium. “Coach Tony” to some. My newsletter: https://coachtony.medium.com/subscribeHelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/a-new-boost-for-top-stories-541884654fdb?source=---------2","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"Request for feedback: our updated Distribution Standards","Published in3 Min ReadMedium Staff","3 Min ReadFeb 21----60The official Medium blogAboutHelpTermsPrivacyNews and updates from the staff at Medium.HelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/request-for-feedback-our-updated-distribution-standards-36b39e1dc353?source=---------3","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"What We’re Reading: Love is great, but have you tried friendship?","Published in3 Min ReadMedium Staff","3 Min ReadFeb 17Medium Staff----74The official Medium blogAboutHelpTermsPrivacyNews and updates from the staff at Medium.HelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/what-were-reading-love-is-great-but-have-you-tried-friendship-b44f1ed4546a?source=---------4","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"Read stories offline","Published in3 Min ReadJustin Arn","3 Min ReadFeb 17----17The official Medium blogAboutHelpTermsPrivacyProduct @ MediumHelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/read-stories-offline-e9d3ddcd4497?source=---------5","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"Become a verified book author","Published in3 Min ReadBuster Benson","3 Min ReadFeb 15----145The official Medium blogAboutHelpTermsPrivacyBook AuthorProduct at @Medium. Author of “Why Are We Yelling? The Art of Productive Disagreement”. Notetaker at busterbenson.com. Builder of new.750words.com.2019HelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/become-a-verified-book-author-5c42c891b0cc?source=---------6","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"What We’re Reading: Your recommendations from across Medium","Published in3 Min ReadMedium Staff","3 Min ReadJan 27Medium Staff----72The official Medium blogAboutHelpTermsPrivacyNews and updates from the staff at Medium.HelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/what-were-reading-your-recommendations-from-across-medium-f259dd688071?source=---------7","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"How we’re approaching AI-generated writing on Medium","Published in3 Min ReadScott Lamb","3 Min ReadJan 26----240The official Medium blogAboutHelpTermsPrivacyvp, content @ medium. my newsletter: https://scottlamb.blog/subscribeHelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/how-were-approaching-ai-generated-writing-on-medium-16ee8cb3bc89?source=---------8","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
"What We’re Reading: Raising good humans, AI-generated twins, and new year’s resolutions that stick","Published in3 Min ReadMedium Staff","3 Min ReadJan 13----42The official Medium blogAboutHelpTermsPrivacyNews and updates from the staff at Medium.HelpStatusWritersBlogCareersPrivacyTermsAboutText to speech","https://blog.medium.com/what-were-reading-raising-good-humans-ai-generated-twins-and-new-year-s-resolutions-that-stick-114f7dfd2a5d?source=---------9","https://miro.medium.com/fit/c/64/64/1*sHhtYhaCe2Uc3IU0IgKwIQ.png"
